0/   Common Name,1/   Latin Name,1b/  Genus,1c/  Cultivar (Y/N),1d/  Source,2/  Native Status Tier,3/  Native Status - Basis,22/  Native to (Level II Ecoregion),2/  Slug,3/  Drive Image ID,8/  Category,9/  Habit,10/  Flower,11/  Leaf,"12/  Height, Min (ft)","13/  Height, Max (ft)","14/  Spread, Min (ft)","15/  Spread, Max (ft)",4/  Light Req,5/  Water Req,6/  Soil Req,7/  Zone,24/  Drought Resistant,25/  Low Maintenance,52/  Shade Tolerance [USDA PLANTS],53/  Ellenberg-style L value (1-9) [where available],"50/  Coeff. of Conservatism C (0-10) [Chicago Region FQA, Swink&Wilhelm 1994]",51/  Coeff. of Wetness W (-5..+5) [Chicago Region FQA],16/  Bloom Color,17/  Bloom Time,18/  Fall Leaf Color,19/  Fall Color Time,20/  Attractive Seedhead Time,21/  Garden Attributes,23/  Context,28/  Growth Rate/Lifespan,27/  Summary Blurb,29/  Detailed Description,"30/  Maintenance, General","31/  Maintenance, Late Winter","32/  Maintenance, Early Spring","33/  Maintenance, Mid Spring","34/  Maintenance, Late Spring","35/  Maintenance, Early Summer","36/  Maintenance, Mid Summer","37/  Maintenance, Late Summer","38/  Maintenance, Early Fall","39/  Maintenance, Mid Fall","40/  Maintenance, Late Fall","41/  Maintenance, Winter","43/  [DOC] Pollinators Supported (documented, partial)","44/  [DOC] Pollinator Taxa Count (documented floor, not a census)",45/  [EST] CSR Strategy,46/  [EST] CSR Basis,47/  [REC] Companion - CSR-Matched,48/  [REC] Companion - Site-Matched (Soil/Water/Light),49/  [REC] Companion - Complementary Seasonal Interest,58/  Image - Spring (URL or Drive ID),59/  Image - Summer (URL or Drive ID),60/  Image - Fall (URL or Drive ID),61/  Image - Winter (URL or Drive ID)
Swamp Milkweed,Asclepias incarnata,Asclepias,N,Existing (enriched),Native,Native wet-meadow milkweed of the Upper Midwest.,Temperate Prairies,asclepias_incarnata,,flower,upright clump,,coarse,3,5,2,3,"full sun, part sun","moist/well-drained, wet","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,Intolerant,,4,-5,"pink, mauve","Mid Summer, Late Summer",,,Fall,"pollinator friendly, monarch host, rain garden","rain garden, prairie, border",Long-lived; clump-forming,Fragrant pink milkweed for moist soils; monarch host and nectar plant.,,,,,,,,,,,,,,Monarch (host) & swallowtail/fritillary butterflies; bumblebees; wasps; skippers,5,C / CS,Robust wet-meadow perennial that builds tall biomass on fertile moist soils (C) with stress tolerance for saturation.,Eutrochium maculatum; Veronicastrum virginicum; Liatris spicata,Eutrochium maculatum; Panicum virgatum; Zizia aurea,Mid-summer bloom between early Zizia and fall asters,,,,
Spotted Joe Pye Weed,Eutrochium maculatum,Eutrochium,N,Existing (enriched),Native,Native wet-meadow species of the Upper Midwest.,Temperate Prairies,eutrochium_maculatum,,flower,upright clump,,"whorled, lanceolate, aromatic",4,7,2,4,"full sun, part sun","moist/well-drained, wet","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,4,-5,"mauve, pink, purple","Mid Summer, Late Summer, Early Fall",tan to brown,October to November,"Fall, Winter","pollinator friendly, vertical accent, rain garden","rain garden, prairie, border",Long-lived; large clump,Towering mauve domes; a late-summer butterfly magnet for moist sites.,,,,,,,,,,,,,,"Swallowtail, monarch & fritillary butterflies; bumblebees & many bees; skippers; flies",6,C / CS,"Tall, fast, fertile-moist-soil competitor (C) tolerant of wet feet (S); dominant in the herb layer.",Symphyotrichum novae-angliae; Veronicastrum virginicum; Panicum virgatum,Asclepias incarnata; Liatris spicata; Panicum virgatum,Anchors late summer; pair with early-summer forbs and fall grasses,,,,
Culver's Root,Veronicastrum virginicum,Veronicastrum,N,Existing (enriched),Native,Native mesic-prairie species of the Upper Midwest.,Temperate Prairies,veronicastrum_virginicum,,flower,vertical/architectural,,"lanceolate, whorled in 3–6, toothed, green",3,6,2,4,"full sun, part sun","average, moist/well-drained","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,7,0,white,"Mid Summer, Late Summer",,,"Fall, Winter","pollinator friendly, vertical accent, architectural","prairie, border",Long-lived; upright clump,Elegant white candelabra spires; strong vertical structure and bee plant.,,,,,,,,,,,,,,"Many bees (bumble, sweat, mining); wasps; flies; butterflies & skippers",6,C / CS,"Tall, upright mesic-prairie perennial that holds its own among robust neighbors (C) with broad tolerance.",Eutrochium maculatum; Symphyotrichum novae-angliae; Liatris spicata,Liatris spicata; Echinacea purpurea; Panicum virgatum,White spires mid-summer; pair with purple Liatris (summer) and fall asters,,,,
Foxglove Beardtongue,Penstemon digitalis,Penstemon,N,Existing (enriched),Native,Native to eastern/central N. America incl. the region.,Temperate Prairies,penstemon_digitalis,,flower,upright clump,,fine,2,4,1,2,"full sun, part sun","dry, average","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,Tolerant,,4,1,white,"Late Spring, Early Summer",burgundy,Fall,Fall,"pollinator friendly, early season","prairie, border",Short- to medium-lived; reseeds,White tubular bells in early summer; bridges the spring-to-summer gap for bees.,,,,,,,,,,,,,,Bumblebees (primary); mason bees; other long-tongued bees; specialist bee (Osmia distincta),4,CSR / R,"Adaptable, free-reseeding early-summer perennial of open ground; recruits readily (R) with broad CSR tolerance.",Echinacea purpurea; Monarda fistulosa; Rudbeckia hirta,Echinacea purpurea; Asclepias tuberosa; Zizia aurea,Fills the late-spring/early-summer gap ahead of Echinacea and Monarda; burgundy fall foliage,,,,
Blue False Indigo,Baptisia australis,Baptisia,N,Existing (enriched),Native — near-region (not native to Chicago Region per FQA),"Native to central/SE US; adventive/introduced in the Chicago Region (Swink & Wilhelm treat as non-native, C=0). Reclassified from ""Native"" after FQA cross-check.",Temperate Prairies,baptisia_australis,,flower,shrub-like mound,,"trifoliate, blue-green, glaucous",3,4,3,4,"full sun, part sun","dry, average","average, rocky/poor, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,,,0,5,"blue, indigo","Late Spring, Early Summer",yellow,October,"Late Summer, Fall, Winter","pollinator friendly, attractive seedpods, deer resistant","prairie, border, specimen","Very long-lived; deep taproot, slow to establish",Indigo spires over blue-green foliage; long-lived with rattling black seedpods.,,,,,,,,,,,,,,Bumblebees & large queens (trip the flowers); host for wild indigo duskywing & frosted elfin,3,S / CS,"Deep-taprooted, slow-establishing but extremely long-lived legume (S) that becomes a shrub-sized competitor (C) at maturity.",Amsonia hubrichtii; Echinacea purpurea; Sporobolus heterolepis,Amsonia hubrichtii; Schizachyrium scoparium; Asclepias tuberosa,Late-spring bloom; charcoal seedpods give summer-winter interest; pair with summer forbs,,,,
Common Mountain Mint,Pycnanthemum virginianum,Pycnanthemum,N,Existing (enriched),Native,Native across the Upper Midwest.,Temperate Prairies,pycnanthemum_virginianum,,flower,spreading clump,,"ovate, aromatic, gray-green",2,3,1,3,"full sun, part sun","average, moist/well-drained","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,,,5,-4,white,"Mid Summer, Late Summer",gray-tan,October to November,"Fall, Winter","pollinator friendly, fragrant, deer resistant","prairie, border",Long-lived; rhizomatous spread,Minty foliage and silvery bracts; consistently rated a top pollinator plant.,,,,,,,,,,,,,,"Exceptional generalist: many bees, wasps, flies, small butterflies, skippers & beetles",7,CSR,"Tough, adaptable rhizomatous perennial balancing moderate spread, stress tolerance and reseeding - central CSR.",Monarda fistulosa; Echinacea purpurea; Rudbeckia hirta,Echinacea purpurea; Liatris spicata; Zizia aurea,Mid-summer; pair with spring Zizia and fall asters/grasses,,,,
Golden Alexanders,Zizia aurea,Zizia,N,Existing (enriched),Native,Native prairie/woodland-edge species of the region.,Eastern Mixed Wood Plains,zizia_aurea,,flower,upright clump,,"compound, bright green, glossy",1,3,1,2,"full sun, part sun, part shade","average, moist/well-drained","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,7,-1,yellow,"Mid Spring, Late Spring, Early Summer",,,Summer,"pollinator friendly, early season, swallowtail host","prairie, woodland edge, border","Long-lived; clump-forming, reseeds",Flat gold flower heads in late spring; key early-season nectar and swallowtail host.,,,,,,,,,,,,,,Short-tongued bees; wasps; flies; beetles; host for black swallowtail; early nectar,5,CSR,"Adaptable spring perennial of prairie and woodland edge; moderate vigor, tolerance and reseeding.",Penstemon digitalis; Echinacea purpurea; Geranium maculatum,Phlox divaricata; Geranium maculatum; Mertensia virginica,Earliest of the prairie bloomers - precedes Echinacea/Monarda; pair with summer & fall forbs,,,,
Rattlesnake Master,Eryngium yuccifolium,Eryngium,N,Existing (enriched),Native,Native prairie species of the region.,Temperate Prairies,eryngium_yuccifolium,,flower,architectural rosette,,"spiny, thistle-like, blue-green",3,5,1,2,full sun,"dry, average","rocky/poor, sand, average","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,,,9,-1,"white, silver-green","Mid Summer, Late Summer",,,"Fall, Winter","pollinator friendly, architectural, distinctive","prairie, border, specimen",Long-lived; deep taproot,Yucca-like blades and spherical greenish-white flower globes; striking structure.,,,,,,,,,,,,,,"Wide-open flowers feed many wasps, bees, flies, beetles & butterflies",6,S / CS,Deep-rooted dry-prairie perennial; drought-proof stress-tolerator (S) with distinctive architectural presence.,Liatris spicata; Schizachyrium scoparium; Echinacea purpurea,Schizachyrium scoparium; Asclepias tuberosa; Sporobolus heterolepis,Mid-summer; architectural seedheads carry fall/winter; pair with grasses and asters,,,,
Wild Geranium,Geranium maculatum,Geranium,N,Existing (enriched),Native,Native woodland species of the Upper Midwest.,Eastern Mixed Wood Plains,geranium_maculatum,,flower,mound,,"palmate, deeply cut, green to red in fall",1,2,1,2,"part shade, part sun, full shade","average, moist/well-drained","high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,4,5,"pink, lavender","Mid Spring, Late Spring","red, orange",Fall,Summer,"pollinator friendly, woodland, fall color","woodland, border",Long-lived; slowly spreading rhizome,Soft pink woodland flowers in spring; tidy mounds with red fall foliage.,,,,,,,,,,,,,,"Mason, mining (Andrena distans specialist), bumble & sweat bees; hoverflies; small butterflies",5,CSR,Adaptable woodland-edge perennial of moderate vigor; tolerant of shade and seasonal dryness with light reseeding.,Phlox divaricata; Tiarella cordifolia; Heuchera villosa 'Autumn Bride',Phlox divaricata; Mertensia virginica; Tiarella cordifolia,Spring bloom; red fall foliage; pair with summer Actaea and evergreen Christmas fern,,,,
Foamflower,Tiarella cordifolia,Tiarella,N,Existing (enriched),Native,Native to eastern US (near-region); widely used regionally.,Eastern Mixed Wood Plains,tiarella_cordifolia,,flower,spreading mat,,semi-evergreen,0.5,1,1,2,"part shade, full shade",moist/well-drained,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,10,1,"white, pink","Mid Spring, Late Spring",burgundy marbling intensifies,October to March,,"groundcover, woodland, pollinator friendly","woodland, groundcover, container",Long-lived; stoloniferous spread,Frothy white spring spikes over a mat of maple-like leaves; shade groundcover.,,,,,,,,,,,,,,Small bees; hoverflies & other flies (early spring),2,CSR / S,"Stoloniferous shade groundcover that knits a modest cover (mild C) while persisting in rich, stable shade (S).",Phlox divaricata; Heuchera villosa 'Autumn Bride'; Carex pensylvanica,Asarum canadense; Phlox divaricata; Polystichum acrostichoides,Spring foam; semi-evergreen mat; pair with summer Actaea and evergreen fern,,,,
Wild Ginger,Asarum canadense,Asarum,N,Existing (enriched),Native,Native woodland groundcover of the Upper Midwest.,Eastern Mixed Wood Plains,asarum_canadense,,flower,spreading mat,,"bold, deciduous",0.5,0.5,1,2,"part shade, full shade",moist/well-drained,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,7,5,maroon (hidden),Mid Spring,"evergreen, glossy green persists",October to March,,"groundcover, woodland, deer resistant","woodland, groundcover",Long-lived; slow rhizomatous mat,Heart-shaped leaves forming a dense shade carpet; ground-level maroon flowers.,,,,,,,,,,,,,,"Ground-level flowers visited by flies, fungus gnats, beetles & ants (often self-pollinating); minimal pollinator value",2,S / CS,Slow rhizomatous deep-shade groundcover of rich woods; stress-tolerant specialist with high habitat fidelity.,Tiarella cordifolia; Polystichum acrostichoides; Carex pensylvanica,Polystichum acrostichoides; Tiarella cordifolia; Phlox divaricata,Foliage carpet all season; pair with spring ephemerals and summer Actaea,,,,
Virginia Bluebells,Mertensia virginica,Mertensia,N,Existing (enriched),Native,Native to eastern N. America; range reaches the region.,Eastern Mixed Wood Plains,mertensia_virginica,,flower,mound (ephemeral),,"ovate, smooth, blue-green",1,2,1,1,"part shade, full shade",moist/well-drained,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,5,-3,"blue, pink (buds)","Mid Spring, Late Spring",,,,"pollinator friendly, woodland, spring ephemeral","woodland, border",Long-lived; spring ephemeral (summer dormant),Sky-blue spring bells that go dormant by summer; classic ephemeral.,,,,,,,,,,,,,,"Queen bumblebees; bee flies; butterflies; hummingbirds; mason bees (long-tongued, tubular flowers)",5,R / CR  (spring ephemeral),"Spring geophyte that captures resources during the bright pre-canopy window then goes dormant - a stress-avoiding, ruderal-leaning strategy.",Dicentra cucullaria; Thalictrum dioicum; Phlox divaricata,Phlox divaricata; Tiarella cordifolia; Geranium maculatum,"Earliest woodland color; interplant with later fillers (Carex, ferns) to cover its summer gap",,,,
Dutchman's Breeches,Dicentra cucullaria,Dicentra,N,Existing (enriched),Native,Native woodland ephemeral of the Upper Midwest.,Eastern Mixed Wood Plains,dicentra_cucullaria,,flower,mound (ephemeral),,"compound, finely dissected, blue-green",0.5,1,0.5,1,"part shade, full shade",moist/well-drained,"high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a",FALSE,TRUE,,,6,5,white,"Early Spring, Mid Spring",,,,"woodland, spring ephemeral, deer resistant",woodland,Long-lived; spring ephemeral (summer dormant),Pantaloon-shaped white flowers over ferny foliage; fleeting spring ephemeral.,,,,,,,,,,,,,,Queen bumblebees (strong enough to open the spurred flowers) - specialized early forager,2,R / SR  (spring ephemeral),Early ephemeral exploiting the brief pre-leaf-out window on rich slopes; stress-avoiding ruderal that vanishes by summer.,Mertensia virginica; Thalictrum dioicum; Aquilegia canadensis,Mertensia virginica; Tiarella cordifolia; Polystichum acrostichoides,Among the very earliest; pair with evergreen fern and Carex to fill the summer void,,,,
Pennsylvania Sedge,Carex pensylvanica,Carex,N,Existing (enriched),Native,Native dry-shade sedge of the Upper Midwest.,Eastern Mixed Wood Plains,carex_pensylvanica,,sedge,spreading mat,,"fine, semi-evergreen",0.5,1,1,2,"part shade, full shade, part sun","dry, average","average, rocky/poor, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",TRUE,TRUE,,,5,5,,"Mid Spring, Late Spring",tan to buff,October to March,,"groundcover, lawn alternative, textural, deer resistant","woodland, groundcover",Long-lived; rhizomatous spread,"Fine, soft-textured sedge for dry shade; a popular no-mow lawn alternative.",,,,,,,,,,,,,,WIND-POLLINATED - no nectar value. Larval host for sedge skippers & satyrs; groundcover/structure.,0,CS / CSR,Rhizomatous dry-shade sedge that forms persistent low cover (mild C) while tolerating drought and low light (S).,Heuchera villosa 'Autumn Bride'; Tiarella cordifolia; Geranium maculatum,Polystichum acrostichoides; Asarum canadense; Aquilegia canadensis,Fine texture all season under spring ephemerals and woodland forbs,,,,
Golden Groundsel,Packera aurea,Packera,N,Existing (enriched),Native,Native to eastern N. America incl. the region.,Eastern Mixed Wood Plains,packera_aurea,,flower,spreading mat,,semi-evergreen,0.5,2,1,2,"part shade, full shade, part sun","moist/well-drained, average","average, high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,,,yellow,"Mid Spring, Late Spring",,,,"groundcover, pollinator friendly, early season","woodland, rain garden, groundcover",Long-lived; stoloniferous spreader,Yellow daisy clusters over an evergreen rosette mat; vigorous shade groundcover.,,,,,,,,,,,,,,Early-spring nectar: small bees (Andrena); flies; small butterflies,4,CR,Vigorous stoloniferous spreader of moist shade-to-sun; fast lateral cover (C) plus ready colonization (R).,Tiarella cordifolia; Phlox divaricata; Geranium maculatum,Tiarella cordifolia; Mertensia virginica; Zizia aurea,Early-spring yellow; evergreen rosettes give winter cover; pair with summer woodlanders,,,,
Canada Anemone,Anemone canadensis,Anemone,N,Existing (enriched),Native,Native to the Upper Midwest (note: aggressive native - sited intentionally).,Eastern Mixed Wood Plains,anemone_canadensis,,flower,spreading mat,,"deeply divided, compound, green",1,2,2,4,"full sun, part sun, part shade","moist/well-drained, average","average, clay, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,4,-3,white,"Late Spring, Early Summer",,,,"groundcover, pollinator friendly (aggressive spreader)","rain garden, naturalizing",Long-lived; aggressively rhizomatous,Crisp white cups over maple-like leaves; vigorous - best where it can run.,,,,,,,,,,,,,,"Pollen-foraging bees (mining, sweat); flies; beetles",3,CR  (aggressive),Strongly rhizomatous colonizer of moist ground; high lateral competitive spread (C) with disturbance tolerance (R). Site with care - can overrun neighbors.,Packera aurea; Solidago rugosa 'Fireworks'; Panicum virgatum (vigorous partners only),Asclepias incarnata; Eutrochium maculatum; Zizia aurea,Late-spring/early-summer white; best massed alone or with equally robust plants,,,,
Solomon's Seal,Polygonatum commutatum,Polygonatum,N,Existing (enriched),Native,Native woodland species (P. biflorum var. commutatum) of the region.,Eastern Mixed Wood Plains,polygonatum_commutatum,,flower,arching,,"ovate, alternate, arching green",3,6,1,3,"part shade, full shade","moist/well-drained, average","high organic, loam","3a, 3b, 4a, 4b, 5a, 5b, 6a, 6b, 7a, 7b, 8a, 8b",FALSE,TRUE,,,,,"white, green","Late Spring, Early Summer","gold, yellow",Fall,Fall (blue-black berries),"woodland, architectural, deer resistant","woodland, border",Long-lived; rhizomatous,Tall arching stems hung with white bells; gold fall foliage and blue berries.,,,,,,,,,,,,,,"Bumblebees (primary, tubular bells); hummingbirds; (berries for birds)",2,CS / S,Long-lived rhizomatous woodlander that builds substantial arching mass in rich shade (C) while persisting in stable understory (S).,Actaea racemosa; Hydrangea arborescens; Tiarella cordifolia,Asarum canadense; Polystichum acrostichoides; Phlox divaricata,Late-spring bells; gold fall color and berries; structural foil for spring ephemerals,,,,
